genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
Sulfitobacter guttiformis,74349,EL-38,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,,55.7,,Y16427,53.7,4.0,16.0,12.0,20.0,32.0,28.0
Streptomyces beijiangensis,163361,YIM6,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,,,AF385681,58.7,0.0,14.0,8.0,20.0,32.0,32.0
Mycolicibacterium madagascariense,212765,P2,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,,,,NR_104690,58.6,22.0,31.0,,,31.0,9.0
Flavobacterium hibernum,37752, ATCC 51468,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.0,,L39067,50.2,-7.0,26.0,,,31.0,38.0
Pseudofulvibacter gastropodicola,1524960,MEBiC08749,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pseudofulvibacter,,30.0,,KJ918743,50.7,5.0,25.0,,,31.0,26.0
Kiloniella spongiae,1489064,LD81,Bacteria,Proteobacteria,Alphaproteobacteria,Kiloniellales,Kiloniellaceae,Kiloniella,,44.6,,KJ418107,53.6,11.0,25.0,,,31.0,20.0
Mesonia ostreae,861110,T-y2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesonia,,42.1,,HM234095,50.0,4.0,25.0,,,31.0,27.0
Pedobacter lentus,430683,DS-40,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,36.0,,EF446146,52.5,4.0,25.0,,,31.0,27.0
Rhizobium soli,424798,DS-42,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,60.8,,EF363715,55.1,4.0,25.0,,,31.0,27.0
Sulfitobacter donghicola,421000,DSW-25,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,,56.9,,EF202614,53.9,10.0,25.0,,,31.0,21.0
Pedobacter insulae,414048,DS-139,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,39.4,,EF100697,51.9,4.0,25.0,,,31.0,27.0
Devosia insulae,408174,DS-56,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,,66.2,,EF012357,55.3,10.0,25.0,,,31.0,21.0
Mucilaginibacter lappiensis,354630,ANJLI2,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,45.0,,DQ234446,50.5,0.0,25.0,,,31.0,31.0
Photobacterium aplysiae,299462,GMD509,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,,45.0,,AY781193,54.4,10.0,25.0,,,31.0,21.0
Chryseobacterium jeonii,266749,AT1047,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,GCA_900638245.1,35.0,3.3,AY553294,49.3,4.0,21.5,,,31.0,27.0
Monaibacterium marinum,1690039,C7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Monaibacterium,,60.0,,KP797887,54.5,4.0,20.0,,,31.0,27.0
Cohaesibacter gelatinilyticus,372072,CL-GR15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Cohaesibacteraceae,Cohaesibacter,,52.9,,DQ386307,54.1,15.0,27.5,25.0,30.0,31.0,16.0
Perspicuibacter marinus,1459949,2月9日,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Perspicuibacter,,41.7,,AB908276,53.5,15.0,26.0,22.0,30.0,31.0,16.0
Magnetovibrio blakemorei,28181,MV-1,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetovibrio,,53.2,,L06455,53.1,4.0,27.0,26.0,28.0,31.0,27.0
Pedobacter metabolipauper,425513,WB 2.3-71,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,,,AM491370,51.6,8.0,25.0,24.0,26.0,31.0,23.0
Lutibacter holmesii,1137985,KMM 6277,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter,,36.1,,JQ241142,49.0,4.0,24.0,23.0,25.0,31.0,27.0
Roseivirga echinicomitans,296218,KMM 6058,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Roseivirga,,41.3,,AY753206,51.7,4.0,22.0,21.0,23.0,31.0,27.0
Paenibacillus antarcticus,253703,20CM,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_008369725.1,40.6,5.4,AJ605292,54.3,4.0,12.5,10.0,15.0,31.0,27.0
Methanococcoides alaskense,325778,AK-5,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,,41.9,,AY941801,54.9,-2.3,23.6,,,30.6,32.9
Paramoritella sediminis,1166481,MEBiC06500,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Paramoritella,,56.0,,JQ672626,54.0,11.0,23.5,,,30.2,19.7
Edaphocola aurantiacus,2601682,H2,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Edaphocola,,48.3,,MF417833,50.5,10.0,27.5,25.0,30.0,30.0,20.0
Roseomonas aeriglobus,2267537,KER25-12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,,70.0,,KY864922,58.2,10.0,27.5,25.0,30.0,30.0,20.0
Acuticoccus kandeliae,2073160,J103,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Acuticoccus,,68.5,,KY038377,55.4,20.0,27.5,25.0,30.0,30.0,10.0
Actinomycetospora endophytica,2291215,A-T 8314,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,,73.2,,MH071353,59.7,15.0,22.5,20.0,25.0,30.0,15.0
Nesterenkonia endophytica,2109272,EGI 60016,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,,64.1,,MF630917,57.4,5.0,22.5,20.0,25.0,30.0,25.0
Methanobrevibacter curvatus,49547,RFM-2,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,25.7,,U62533,53.4,10.0,30.0,,,30.0,20.0
Lactobacillus curtus,1746200,VTT E-94560,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,43.0,,LC093898,52.0,15.0,30.0,,,30.0,15.0
Tetragenococcus osmophilus,526944, T1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,GCA_003795125.1,36.3,2.4,EU522083,54.8,15.0,30.0,,,30.0,15.0
Oenococcus kitaharae,336988,NRIC 0605,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Oenococcus,,42.0,,AB221475,50.9,20.0,30.0,,,30.0,10.0
Francisella marina,2249302,E95-16,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,GCA_008369785.1,,2.1,MH057668,51.5,20.0,30.0,,,30.0,10.0
Colwellia sediminilitoris,1820336,YSM-23,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,,,,KU696539,53.1,4.0,30.0,,,30.0,26.0
Bacillus piscis,2679916,16MFT21,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,46.5,,KX753358,55.1,4.0,30.0,,,30.0,26.0
Ornithinicoccus soli,2574732,XNB-1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Ornithinicoccus,,70.1,,MK860038,56.5,16.0,30.0,,,30.0,14.0
Hymenobacter daejeonensis,2249783,PB105,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,,64.5,,KY412787,54.1,8.0,30.0,,,30.0,22.0
Pedobacter agrisoli,2081981,YHM-9,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,38.9,,MF564194,54.7,15.0,30.0,,,30.0,15.0
Burkholderia bonniea,2152891,BbQS859,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,58.7,,,,22.0,30.0,,,30.0,8.0
Sabulilitoribacter arenilitoris,2044858,HMF6543,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sabulilitoribacter,,31.9,,KX343046,50.4,10.0,30.0,,,30.0,20.0
Burkholderia hayleyella,2152889,BhQS11,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,,59.2,,,,22.0,30.0,,,30.0,8.0
Virgibacillus phasianinus,2017483,LM2416 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,GCA_002216775.1,39.5,4.1,KY785406,54.7,10.0,30.0,,,30.0,20.0
Maribius pontilimi,1964209,GH1-23,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maribius,,66.7,,LT797154,54.2,10.0,30.0,,,30.0,20.0
Thalassotalea litorea,2020715,HMF4135,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,,41.9,,KU853009,52.9,10.0,30.0,,,30.0,20.0
Puniceibacterium confluentis,1958944,JSSK-17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Puniceibacterium,,64.4,,KY614065,55.3,4.0,30.0,,,30.0,26.0
Phreatobacter stygius,1940610,YC6-17,Bacteria,Proteobacteria,Alphaproteobacteria,,,Phreatobacter,GCA_005144885.1,66.7,7.4,LT719153,55.8,10.0,30.0,,,30.0,20.0
Labilibaculum manganireducens,1940525,59.10-2M,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinifilaceae,Labilibaculum,,36.7,,KY509310,50.7,4.0,30.0,,,30.0,26.0
Leucobacter musarum,1930747,CBX152,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,,66.8,,KF906844,55.5,10.0,30.0,,,30.0,20.0
Flaviramulus aestuariivivens,1926602,OITF-51,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flaviramulus,,33.4,,KY310668,50.2,10.0,30.0,,,30.0,20.0
Nonlabens aestuariivivens,1924271,OITF-31,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,,38.1,,KX870191,50.6,10.0,30.0,,,30.0,20.0
Arcobacter acticola,1849015,AR-13,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Pseudoarcobacter,,28.3,,KU507537,48.0,4.0,30.0,,,30.0,26.0
Maribacter litorisediminis,1846261,HPTF-2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,,38.4,,KX198138,53.8,10.0,30.0,,,30.0,20.0
Pigmentiphaga aceris,1940612,SAP-32,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,GCA_008119665.1,61.4,6.2,LT719155,54.5,10.0,30.0,,,30.0,20.0
Aeromonas finlandiensis,1543375,4287D,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,LM654283,55.7,15.0,30.0,,,30.0,15.0
Pedobacter zeae,1737356,22,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,41.2,,KR610524,52.0,15.0,30.0,,,30.0,15.0
Runella palustris,1681844,HMF3829,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,,46.2,,KT273904,51.6,20.0,30.0,,,30.0,10.0
Flavobacterium verecundum,1655235,TTM-46,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,39.0,,LN849950,51.1,20.0,30.0,,,30.0,10.0
Endozoicomonas acroporae,1701104,Acr-14,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,,49.1,,LN875493,55.6,20.0,30.0,,,30.0,10.0
Oryzihumus soli,1634995,Aerobe-19,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus,,73.9,,KP185144,57.4,15.0,30.0,,,30.0,15.0
Antricoccus suffuscus,1629062,C4-31,Bacteria,Actinobacteria,Actinobacteria,Frankiales,,Antricoccus,,62.8,,LN827957,57.0,4.0,30.0,,,30.0,26.0
Paralcaligenes ginsengisoli,1636859,DCY104,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Paralcaligenes,,55.9,,KP401771,55.1,10.0,30.0,,,30.0,20.0
Pseudomonas kribbensis,1628086,Feb-46,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_003352185.1,60.5,6.3,KT321658,53.8,4.0,30.0,,,30.0,26.0
Pedobacter silvilitoris,1527678,W-WS1,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,37.7,,KM229740,51.7,4.0,30.0,,,30.0,26.0
Desulfoprunum benzoelyticum,1506996,KoBa311,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfoprunum,,52.3,,KJ766003,53.9,20.0,30.0,,,30.0,10.0
Ruegeria meonggei,1446476,MA-E2-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ruegeria,,58.0,,KF740534,54.9,4.0,30.0,,,30.0,26.0
Hymenobacter swuensis,1446467,DY53,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,GCA_000576555.1,59.7,5.3,JX308618,55.3,4.0,30.0,,,30.0,26.0
Vibrio astriarenae,1481923,C7,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,,46.3,,KP342514,54.1,20.0,30.0,,,30.0,10.0
Chryseobacterium artocarpi,1414727, UTM-3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,34.8,,KF751867,50.5,20.0,30.0,,,30.0,10.0
Winogradskyella sediminis,1382466,S5-23-3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,,36.1,,KF312887,49.2,1.0,30.0,,,30.0,29.0
Arthrobacter ginsengisoli,1356565,DCY81,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,,65.2,,KF212463,56.3,5.0,30.0,,,30.0,25.0
Sulfitobacter noctilucae,1342302,NB-68 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,,58.3,,KC428716,53.7,4.0,30.0,,,30.0,26.0
Ferruginibacter paludis,1310417,HME8881,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,,37.7,,KC690141,51.1,10.0,30.0,,,30.0,20.0
Ferruginibacter yonginensis,1310416,HME8442,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Ferruginibacter,,35.8,,KC690144,50.6,10.0,30.0,,,30.0,20.0
Hymenobacter marinus,1278057,KJ035,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,,61.0,,JX272928,55.3,10.0,30.0,,,30.0,20.0
Flavobacterium oryzae,1237076,Jyi-05,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.2,,HE997061,50.7,10.0,30.0,,,30.0,20.0
Labrys soli,1233475,DCY64,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Labrys,,63.0,,JX315532,55.3,25.0,30.0,,,30.0,5.0
Taeseokella kangwonensis,1230648,HME8275,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Taeseokella,,37.6,,JX426065,50.3,20.0,30.0,,,30.0,10.0
Pedobacter rivuli,1191371,HME8457,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,33.3,,JQ911707,50.4,15.0,30.0,,,30.0,15.0
Mucilaginibacter aquaedulcis,1187081,PGW1-R01,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,39.4,,JQ670938,50.9,15.0,30.0,,,30.0,15.0
Spirosoma montaniterrae,1178516, DY10,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,GCA_001988955.1,52.7,5.8,JQ958375,55.7,10.0,30.0,,,30.0,20.0
Paenibacillus swuensis,1178515,DY6,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_001644605.1,48.9,5.0,JQ958374,54.9,10.0,30.0,,,30.0,20.0
Flavobacterium hankyongi,1176532, KTCe-4,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.2,,JQ349044,50.8,18.0,30.0,,,30.0,12.0
Prosthecobacter algae,1144682, EBTL04,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,,62.7,,JQ319004,53.6,15.0,30.0,,,30.0,15.0
Luteolibacter yonseiensis,1144680,EBTL01,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,,56.3,,JQ319003,55.0,10.0,30.0,,,30.0,20.0
Lysobacter hankyongensis,1176535,KTCe-2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,68.6,,JQ349049,56.2,10.0,30.0,,,30.0,20.0
Hirschia maritima,1121961,GSW-2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,,44.5,,FM202386,52.5,10.0,30.0,,,30.0,20.0
Herbidospora soli,1070425,PS42-9,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Herbidospora,,71.5,,AB649125,59.6,15.0,30.0,,,30.0,15.0
Maribacter chungangensis,1069117,CAU 1044,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,,40.2,,JN036550,52.7,4.0,30.0,,,30.0,26.0
Klenkia soli,1052260,PB34,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Klenkia,,73.2,,JN033772,58.6,4.0,30.0,,,30.0,26.0
Klenkia terrae,1052259,PB261,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Klenkia,,74.1,,JN033773,58.4,4.0,30.0,,,30.0,26.0
Fimbriimonas ginsengisoli,1005039,Gsoil 348,Bacteria,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,GCA_000724625.1,60.8,5.2,GQ339893,55.6,15.0,30.0,,,30.0,15.0
Cohnella cellulosilytica,986710,FCN3-3,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,,58.0,,HQ704069,56.6,15.0,30.0,,,30.0,15.0
Mucilaginibacter flavus,931504,HME6839,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,41.2,,HQ449707,50.6,10.0,30.0,,,30.0,20.0
Arenibacter algicola,616991,TG-409,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,GCA_002234495.1,,5.9,FJ176555,53.1,10.0,30.0,,,30.0,20.0
Parasediminibacterium paludis,908966,HME6815,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Parasediminibacterium,,38.4,,HQ231219,51.0,25.0,30.0,,,30.0,5.0
Actinomycetospora rishiriensis,878212,RI109-Li102,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinomycetospora,,73.1,,AB581530,59.7,10.0,30.0,,,30.0,20.0
Mucilaginibacter soyangensis,869397,HME6664,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,40.8,,HM590829,50.2,10.0,30.0,,,30.0,20.0
Streptomyces chiangmaiensis,766497,TA4-1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,69.2,,AB562507,59.6,20.0,30.0,,,30.0,10.0
Micromonospora humi,745366,P0402,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,,73.0,,GU459068,60.1,20.0,30.0,,,30.0,10.0
Granulicella cerasi,741063,Sakura1,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Granulicella,,61.2,,AB548308,54.0,10.0,30.0,,,30.0,20.0
Marivita roseacus,692487,CB1052,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marivita,,59.6,,GU137308,54.3,10.0,30.0,,,30.0,20.0
Chryseobacterium yonginense,658267,HMD1043,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,31.3,,GQ259742,49.8,4.0,30.0,,,30.0,26.0
Paracoccus caeni,657651,MJ17,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,58.7,,GQ250442,55.1,25.0,30.0,,,30.0,5.0
Algoriphagus taeanensis,649201,HMC4223,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,48.4,,FJ986206,55.1,20.0,30.0,,,30.0,10.0
Mucilaginibacter myungsuensis,649104,HMD1056,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,46.9,,GQ144415,51.1,10.0,30.0,,,30.0,20.0
Allocatelliglobosispora scoriae,643052,Sco-B14,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Allocatelliglobosispora,,70.1,,FN386736,58.7,20.0,30.0,,,30.0,10.0
Aeromonas aquatica,558964,AE235,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,HG970952,55.8,15.0,30.0,,,30.0,15.0
Soonwooa buanensis,619805,HM0024,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Soonwooa,,29.6,,FJ713810,49.6,15.0,30.0,,,30.0,15.0
Aeromonas lacus,558884,AE122,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,,,,HG970953,55.7,15.0,30.0,,,30.0,15.0
Fretibacter rubidus,570162,JC2236,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Fretibacter,,49.3,,JQ965646,52.9,15.0,30.0,,,30.0,15.0
Mycobacterium stomatepiae,470076,T11,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,,,AM884331,58.5,22.0,30.0,,,30.0,8.0
Thiorhodococcus modestalkaliphilus,527199,JA395,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiorhodococcus,,57.8,,AM993156,56.1,25.0,30.0,,,30.0,5.0
Paenibacillus pectinilyticus,512399,RCB-08,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,51.5,,EU391157,54.2,15.0,30.0,,,30.0,15.0
Coralibacter albidoflavus,499064,04OKA-3-121,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Coraliitalea,,38.8,,LC260147,57.4,25.0,30.0,,,30.0,5.0
Hydrogenophaga carboriunda,480473,YZ2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,,66.4,,EU095331,54.2,4.0,30.0,,,30.0,26.0
Acanthopleuribacter pedis,442870,FYK2218,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,,56.7,,AB303221,56.0,15.0,30.0,,,30.0,15.0
Clostridium aestuarii,338193,HY-45-18,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,,,DQ126679,53.1,15.0,30.0,,,30.0,15.0
Brevibacterium marinum,418643,HFW-26,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,,71.4,,AM421807,57.2,10.0,30.0,,,30.0,20.0
Nocardioides panacihumi,400774,Gsoil 616,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,73.0,,AB271053,58.5,15.0,30.0,,,30.0,15.0
Pedobacter daechungensis,398054,Dae 13,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,33.8,,AB267722,51.5,15.0,30.0,,,30.0,15.0
Salinicoccus jeotgali,381634,S2R53-5,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,,47.0,,DQ471329,56.1,20.0,30.0,,,30.0,10.0
Methylobacterium jeotgali,381630,S2R03-9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,,64.9,,DQ471331,56.7,20.0,30.0,,,30.0,10.0
Flammeovirga kamogawensis,373891,YS10,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,,32.5,,AB251933,52.1,15.0,30.0,,,30.0,15.0
Aeromicrobium ginsengisoli,363867,Gsoil 098,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,,66.8,,AB245394,57.4,4.0,30.0,,,30.0,26.0
Aeromicrobium panaciterrae,363861,Gsoil 161,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,,65.5,,AB245387,57.6,15.0,30.0,,,30.0,15.0
Ferrimonas futtsuensis,364764, FUT3661,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas,,58.1,,AB245515,54.4,15.0,30.0,,,30.0,15.0
Polaromonas ginsengisoli,363842,Gsoil 115,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,,60.9,,AB245355,52.8,10.0,30.0,,,30.0,20.0
Geobacter bemidjiensis,225194,Bem,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,GCA_000020725.1,,4.6,AY187307,54.4,4.0,30.0,,,30.0,26.0
